venue,group,n,public_meta_share,any_rationale_share,public_discussion_share,public_reviewer_followup_share,public_author_response_share,public_ac_pc_comment_share,median_meta_words,median_public_discussion_words,mean_guideline_evidence_score,feature_60_words_share,feature_rebuttal_share,feature_review_synthesis_share
ICLR 2024,all_analyzable,5691,1.0,1.0,0.9390265331224741,0.7952908100509577,0.9374450887366017,0.05781057810578106,188,3683,0.6916769167691676,0.9824283957125286,0.5466526093832367,0.8766473379019505
ICLR 2024,overrides,653,1.0,1.0,0.996937212863706,0.8759571209800919,0.996937212863706,0.06738131699846861,237,4088,0.7271567126084737,0.9908116385911179,0.5620214395099541,0.8575803981623277
ICLR 2025,all_analyzable,8614,0.9998839099140934,1.0,0.9210587415834688,0.8794984908288832,0.9037613187833758,0.08312050150917112,213.0,4834.5,0.7822923922297036,0.9885070814952404,0.851636870211284,0.9701648479219874
ICLR 2025,overrides,991,1.0,1.0,0.9727547931382442,0.9424823410696267,0.9626639757820383,0.08779011099899092,275,5721,0.8220652539522368,0.9979818365287588,0.8799192734611504,0.9717457114026236
ICLR 2026,all_analyzable,13723,1.0,1.0,0.9135028783793631,0.5925817969831669,0.9113167674706697,0.05618305035342126,290,4570,0.8433894435133231,0.9846972236391459,0.9327406543758653,0.9817824090942214
ICLR 2026,overrides,1400,1.0,1.0,0.9978571428571429,0.7064285714285714,0.9978571428571429,0.06142857142857143,327.0,5451.0,0.8580952380952381,0.9957142857142857,0.9457142857142857,0.9871428571428571
ICML 2025,all_analyzable,3422,0.0,1.0,0.9964932787843367,0.8413208649912332,0.9964932787843367,0.0008766803039158387,0.0,2798.0,0.4881161114358075,0.0,0.619520748100526,0.90239625949737
ICML 2025,overrides,153,0.0,1.0,0.9869281045751634,0.803921568627451,0.9869281045751634,0.0,0,2950,0.514161220043573,0.0,0.6405228758169934,0.9084967320261438
NeurIPS 2025,all_analyzable,5540,0.0,1.0,0.9989169675090253,0.9969314079422382,0.9987364620938628,0.24314079422382673,0.0,5455.5,0.5228038507821902,0.0,0.7669675090252708,0.9283393501805054
NeurIPS 2025,overrides,154,0.0,1.0,1.0,1.0,1.0,0.22727272727272727,0.0,6071.5,0.5627705627705627,0.0,0.7272727272727273,0.9090909090909091
